Round,Arm Chosen,Reward
1,A,$1
2,A,$0
3,A,$1
4,A,$0
5,A,$1
6,B,$1
7,A,$1
8,B,$0
9,A,$0
10,A,$0
11,A,$1
12,A,$0
13,A,$0
14,A,$1
15,B,$1
16,B,$1
17,A,$0
18,A,$1
19,B,$1
20,B,$1
21,B,$0
22,B,$1
23,B,$1
24,B,$1
25,B,$0
26,B,$1
27,B,$1
28,B,$1
29,B,$1
30,B,$1
