name,kind,params,train_acc,val_acc,gap
dense_single_256,dense,203530,0.9337037205696106,0.8799999952316284,0.05370372533798218
dense_deeper,dense,535818,0.9132592678070068,0.8799999952316284,0.03325927257537842
dense_dropout,dense,567434,0.900259256362915,0.8826666474342346,0.01759260892868042
dense_l2_early,dense,535818,0.9109259247779846,0.8796666860580444,0.031259238719940186
cnn_simple,cnn,421642,0.9564074277877808,0.9183333516120911,0.0380740761756897
cnn_deeper,cnn,241546,0.9359259009361267,0.906000018119812,0.029925882816314697
